id,danceability,energy,liveness,valence,tempo
0,0.676,0.461,0.358,0.715,87.917
1,0.42,0.166,0.101,0.267,77.489
2,0.438,0.359,0.117,0.12,76.332
3,0.266,0.0596,0.132,0.143,181.74
4,0.618,0.443,0.0829,0.167,119.949
5,0.688,0.481,0.189,0.666,98.017
6,0.407,0.147,0.0913,0.0765,141.284
7,0.703,0.444,0.0973,0.712,150.96
8,0.625,0.414,0.151,0.669,130.088
9,0.442,0.632,0.0735,0.196,78.899
10,0.627,0.363,0.0928,0.301,99.905
11,0.483,0.303,0.115,0.139,133.406
12,0.489,0.314,0.113,0.607,124.234
13,0.691,0.234,0.12,0.209,87.103
14,0.755,0.78,0.121,0.387,120.004
15,0.489,0.561,0.179,0.238,83.457
16,0.706,0.112,0.125,0.414,110.154
17,0.795,0.0841,0.0853,0.609,91.803
18,0.625,0.414,0.151,0.669,130.088
19,0.717,0.32,0.107,0.322,107.946
20,0.703,0.444,0.0973,0.712,150.96
21,0.678,0.351,0.355,0.569,90.032
22,0.407,0.147,0.0913,0.0765,141.284
23,0.572,0.454,0.0974,0.515,140.182
24,0.796,0.667,0.221,0.754,97.988
25,0.755,0.454,0.236,0.33,120.06
26,0.62,0.309,0.146,0.664,145.363
27,0.633,0.429,0.132,0.52,143.793
28,0.62,0.309,0.146,0.664,145.363
29,0.62,0.309,0.146,0.664,145.363
30,0.62,0.309,0.146,0.664,145.363
31,0.62,0.309,0.146,0.664,145.363
32,0.593,0.455,0.0914,0.564,202.019
33,0.296,0.206,0.0959,0.202,165.4
34,0.296,0.206,0.0959,0.202,165.4
35,0.296,0.206,0.0959,0.202,165.4
36,0.409,0.153,0.108,0.18,85.262
37,0.501,0.0952,0.0915,0.316,138.016
38,0.606,0.326,0.139,0.414,91.626
39,0.409,0.153,0.108,0.18,85.262
40,0.474,0.519,0.107,0.326,151.832
41,0.568,0.301,0.118,0.142,88.029
42,0.568,0.686,0.0881,0.725,172.075
43,0.568,0.686,0.0881,0.725,172.075
44,0.476,0.666,0.342,0.498,148.155
45,0.568,0.686,0.0881,0.725,172.075
46,0.568,0.686,0.0881,0.725,172.075
47,0.568,0.686,0.0881,0.725,172.075
